date,load_kwh,pv_kwh,net_import_no_storage_kwh,surplus_no_storage_kwh,fixed_tariff_no_storage_yuan,varying_tariff_no_storage_yuan,price_mean,price_min,price_max
2025-01-01,127286.15238333332,35250.982366666656,92035.17001666664,0.0,73322.71323137163,86577.7599686017,0.9265215277777783,0.4038,1.5993
2025-01-02,127657.0784833333,34771.83921666666,92885.2392666667,0.0,74075.24690858832,87483.93837483831,0.926602777777778,0.3623,1.6098
2025-01-03,81883.55671666666,36378.615349999985,50979.25585000001,5474.314483333333,38237.87308352999,35854.927053404994,0.7386236111111111,0.2766,1.4264
2025-01-04,81891.73006666666,37126.127700000005,50776.288083333355,6010.685716666667,38166.33423080501,35465.300260968324,0.7303166666666668,0.3175,1.4459
2025-01-05,127674.11883333331,36638.408533333335,91035.71030000004,0.0,72810.46132814998,85936.18625079,0.9252319444444441,0.391,1.5747
2025-01-06,126826.69011666671,36194.209016666675,90632.48110000002,0.0,72497.47138260995,86002.50649569833,0.9289923611111112,0.371,1.6135
2025-01-07,126927.46215000004,34360.561200000004,92566.90095000002,0.0,73741.60979927336,86885.70229740332,0.9234222222222225,0.3841,1.5672
2025-01-08,126695.94395000004,37169.942633333325,89526.00131666662,0.0,71741.47051356334,84188.80284277332,0.917373611111111,0.3663,1.5968
2025-01-09,127066.61819999992,35975.06208333333,91091.55611666664,0.0,72808.08188202999,85594.00230652666,0.9205923611111115,0.307,1.5726
2025-01-10,81486.63841666664,35995.9717,50117.26973333332,4626.603016666666,37746.36995160164,34677.19698178332,0.7293041666666668,0.2836,1.4151
2025-01-11,81610.19496666665,36744.308349999985,50476.30393333331,5610.417316666666,37865.685799976694,35368.695843626665,0.7342124999999997,0.2503,1.4519
2025-01-12,126519.32696666667,35653.43856666667,90865.88839999995,0.0,72440.78529529167,85648.35464066832,0.9254215277777775,0.3872,1.6226
2025-01-13,126980.35978333336,38706.40281666667,88273.95696666672,0.0,70425.57728944336,82074.40414383166,0.9149201388888888,0.3812,1.5303
2025-01-14,127109.49061666663,37829.17768333334,89280.31293333333,0.0,71355.07566211167,83571.12350176832,0.9169013888888888,0.3771,1.5809
2025-01-15,126963.89896666665,36893.55603333334,90070.34293333332,0.0,72205.08065099666,85045.18510430664,0.9231027777777777,0.4052,1.5854
2025-01-16,126807.7641833333,37733.61273333333,89074.15145,0.0,71408.42870741164,83532.84300444499,0.9150513888888884,0.3275,1.6041
2025-01-17,80876.07619999997,38186.962733333334,48967.43318333332,6278.319716666668,36650.02656514501,33751.40514483999,0.724536111111111,0.2934,1.4338
2025-01-18,81208.0575,37965.54848333335,49229.72451666666,5987.215500000001,36703.55697455166,33753.43903797667,0.722370138888889,0.2881,1.3945
2025-01-19,126210.84621666658,37527.70674999999,88683.13946666672,0.0,71077.36701955502,83147.86088947665,0.9176687500000001,0.3757,1.5934
2025-01-20,126565.66615,38498.5896,88067.07654999998,0.0,70598.65206259665,82354.93065504167,0.9134951388888888,0.383,1.5695
2025-01-21,125750.14588333346,42274.2412,84258.40456666666,782.4998833333333,67361.07016085171,77380.09831865666,0.8955743055555554,0.3668,1.5603
2025-01-22,126679.58854999994,37780.824183333345,88898.76436666666,0.0,71071.98297201666,83167.72157471497,0.919116666666667,0.3719,1.5811
2025-01-23,126355.43114999997,36789.50555,89565.92559999996,0.0,71380.609887665,83832.67906107164,0.9220041666666668,0.34,1.6401
2025-01-24,80339.5357,40510.12254999999,48391.698533333336,8562.285383333334,36048.970894495,32922.95047282168,0.7098805555555554,0.2582,1.4135
2025-01-25,80632.06428333337,42192.488816666664,48296.865966666686,9857.290500000001,35972.67301590001,33029.85972363334,0.7049715277777779,0.2605,1.4005
2025-01-26,126385.04864999997,38686.058616666654,87698.99003333335,0.0,69788.05655464999,81350.88331487335,0.9162173611111112,0.3577,1.6006
2025-01-27,125642.95023333332,41448.03345,84393.41106666665,198.4942833333333,67201.8585161733,77205.0141973817,0.8984333333333328,0.3871,1.5717
2025-01-28,126496.6109333333,39516.21156666667,86980.39936666668,0.0,69348.02344951998,79738.96004093999,0.9057340277777778,0.3261,1.6056
2025-01-29,125425.44486666673,44040.243816666676,81515.20404999999,130.00299999999984,64816.191166981655,73244.80718406335,0.889815972222222,0.3689,1.593
2025-01-30,126011.04994999997,42268.467166666655,83970.14404999999,227.56126666666646,67309.998554345,77538.11259417333,0.900129861111111,0.3538,1.5522
2025-01-31,80009.91998333338,41245.59693333334,47079.72001666668,8315.396966666667,35095.43078256,32071.924079748336,0.7113951388888888,0.2432,1.4161
2025-02-01,76305.20628333332,41927.03034999999,44850.17781666667,10472.001883333332,33395.590330068335,28669.564965088313,0.6514930555555556,0.2537,1.1766
2025-02-02,121705.97265000001,43349.694699999985,78793.47050000001,437.19255000000004,63072.04040677496,67546.67090201497,0.8363881944444445,0.3697,1.3998
2025-02-03,122603.76899999993,42386.85249999999,80297.58298333331,80.66648333333342,64141.34542608166,69484.62294374837,0.8447902777777778,0.3709,1.3447
2025-02-04,121578.09885,40383.2349,81513.91230000001,319.0483500000002,65335.22689001669,71108.64784185834,0.8491895833333337,0.381,1.3987
2025-02-05,121991.08443333331,41242.657450000006,80789.60933333333,41.18235000000004,64568.293645558326,70078.19174462663,0.8482541666666666,0.3423,1.3848
2025-02-06,122252.16269999999,41981.105483333326,80272.45803333334,1.400816666666742,64219.98475558499,69545.33933927833,0.8439645833333331,0.3228,1.447
2025-02-07,76168.59693333339,44362.91726666665,44205.082900000016,12399.403233333333,33184.20402778332,28138.24216379999,0.6440388888888888,0.2631,1.2102
2025-02-08,75746.78751666668,44169.62480000001,43232.71175,11655.549033333335,32202.794781853332,27137.061220251664,0.6423513888888889,0.2752,1.1675
2025-02-09,121547.90356666669,41992.48760000001,79607.84538333335,52.42941666666669,63585.96153378836,68077.37552288332,0.841384027777778,0.3001,1.3378
2025-02-10,121477.56451666668,47150.92693333334,75778.36535,1451.7277666666666,60293.64279805999,63586.77388735,0.8180638888888886,0.3637,1.352
2025-02-11,121441.2816166667,46220.684483333316,76202.93678333332,982.3396500000003,61020.33046754336,65022.31825415667,0.828492361111111,0.36,1.343
2025-02-12,121363.8528833333,46097.11675000001,76631.57463333334,1364.8385,61312.97990572334,65112.17775830504,0.8264243055555558,0.3727,1.3314
2025-02-13,121310.28371666664,49980.80470000001,73521.42235000002,2191.943333333334,58376.740201648325,61817.15060152335,0.8147909722222225,0.3026,1.3496
2025-02-14,75872.63794999999,46070.83613333332,42609.102133333356,12807.300316666666,31690.29062133501,26695.45971173667,0.6310999999999999,0.2247,1.1609
2025-02-15,76054.55224999996,46774.461149999996,42635.89363333335,13355.802533333333,31622.365308859997,26825.70881937834,0.6378472222222226,0.2846,1.1564
2025-02-16,121276.97728333331,45899.59818333332,75948.42713333336,571.0480333333331,60551.294956564954,64451.33676925168,0.8303222222222222,0.34,1.3733
2025-02-17,120960.37281666668,49776.50965000002,73082.76455000002,1898.9013833333331,57898.71065764168,60976.86206305,0.8173527777777777,0.3597,1.3221
2025-02-18,121331.27123333335,49239.883450000016,73288.42194999997,1197.0341666666664,58291.85024810001,61058.785789973335,0.8145215277777781,0.3707,1.3605
2025-02-19,121866.79411666672,48987.46673333333,75154.35691666669,2275.0295333333333,59826.837577171675,63139.931215274984,0.816429861111111,0.3736,1.3304
2025-02-20,121105.25703333343,50112.123299999985,72792.92208333334,1799.7883499999998,57877.93990020332,61281.6480469683,0.8168069444444446,0.3079,1.3465
2025-02-21,75802.00203333332,50241.74,41472.25103333333,15911.989,30531.94597934833,25618.130774260007,0.6208499999999999,0.2473,1.1504
2025-02-22,75682.24226666665,47837.479383333346,41634.6347,13789.871816666666,30752.324178613344,26208.761772231665,0.6352840277777775,0.2472,1.2217
2025-02-23,121142.14093333337,49610.287250000016,72896.99576666666,1365.1420833333336,57917.928294751655,60716.577833113355,0.8153784722222226,0.3868,1.375
2025-02-24,120628.98855000001,52425.954933333334,71333.93281666667,3130.8992000000003,56525.91951412833,59298.90119469334,0.8082493055555555,0.3649,1.3842
2025-02-25,121093.33288333344,55272.00964999996,70550.58276666667,4729.259533333334,55679.35860885666,58040.19026242499,0.7940965277777777,0.3725,1.3107
2025-02-26,121060.73411666667,52245.886083333324,71523.06521666666,2708.217183333334,56525.86541963003,59175.74767225168,0.8055381944444445,0.3378,1.3369
2025-02-27,120599.4889333333,53642.90473333332,71643.15313333333,4686.568933333332,57143.35826494166,59459.829668876635,0.7979118055555552,0.3235,1.3501
2025-02-28,75385.10795000003,52092.51439999999,40462.45056666666,17169.857016666672,29822.12198352334,24800.403988306658,0.6166784722222224,0.2409,1.1629
2025-03-01,72244.16015,48585.39421666669,39313.385266666664,15654.61933333333,29243.468775971665,24196.162165206664,0.6142222222222223,0.2405,1.1576
2025-03-02,117860.41708333325,45502.110016666695,72595.20049999996,236.89343333333318,58087.43062672669,60316.94552957668,0.8122930555555549,0.3093,1.3111
2025-03-03,117958.74559999995,45941.598966666665,73189.57896666667,1172.4323333333332,58616.38204186668,60741.80198765997,0.8118500000000001,0.3264,1.3164
2025-03-04,118139.02498333341,48939.56704999999,70914.67113333334,1715.2132000000001,56408.40757361003,58083.252591258344,0.800627777777778,0.3381,1.3441
2025-03-05,118073.44383333332,51942.971816666686,68767.90856666667,2637.4365500000004,54611.443876583355,55916.05743846167,0.7945006944444445,0.3644,1.3305
2025-03-06,117673.59854999995,51732.94441666666,68907.43651666665,2966.7823833333327,54624.78426541499,55962.137345038325,0.7918569444444445,0.3327,1.3434
2025-03-07,71680.36144999997,50758.075916666654,38142.22400000001,17219.938466666663,28202.81063302167,23250.198703871672,0.608501388888889,0.1545,1.1883
2025-03-08,72344.71158333331,53281.572066666675,38475.91366666666,19412.77415,28325.77250605333,23215.925163461656,0.5972631944444449,0.21,1.1729
2025-03-09,117692.98650000006,54359.46145,67661.33004999998,4327.804999999999,53629.30056377166,54421.46238637666,0.7838090277777777,0.3641,1.3356
2025-03-10,117943.06436666667,49900.99291666667,68972.21489999998,930.14345,54677.11599664836,56268.26534304668,0.8024513888888887,0.3691,1.3308
2025-03-11,117499.55295000004,53560.63415,67540.96113333333,3602.0423333333333,53341.51802573333,54525.203765576654,0.7893930555555556,0.3822,1.3372
2025-03-12,118112.23683333331,55676.70214999999,67323.01068333331,4887.476,53066.561099063336,54115.01098431667,0.7801680555555556,0.35,1.3485
2025-03-13,118237.27704999998,50691.65903333336,68272.85921666668,727.2411999999999,54208.62788672333,55332.262400369975,0.7996375,0.3312,1.3317
2025-03-14,72108.86894999999,56079.442966666655,37424.63611666667,21395.210133333334,27645.698979685007,22551.245485898326,0.5913868055555551,0.1602,1.1955
2025-03-15,72724.98178333334,51800.85663333334,38207.635466666674,17283.510316666667,28139.148937295,23117.874697824995,0.6047722222222226,0.2699,1.1777
2025-03-16,117983.21598333337,54632.16905,66922.08571666667,3571.0387833333334,52702.462446106685,53854.119628773326,0.7848951388888887,0.3598,1.3095
2025-03-17,117693.62179999995,59835.49036666667,64277.59396666666,6419.462533333335,50476.296153095,50577.25406617499,0.7601756944444444,0.367,1.3189
2025-03-18,117253.42358333338,56127.465216666664,66005.03358333335,4879.075216666667,52236.450644575,52832.67118176166,0.7760166666666665,0.3707,1.3196
2025-03-19,117281.558,57816.08754999999,65489.434733333335,6023.964283333334,51736.84297793836,52115.01734165832,0.7718381944444447,0.3401,1.3494
2025-03-20,117648.3817333333,55439.419916666666,66119.83850000003,3910.8766833333334,52290.65284492998,52862.415101828316,0.7786381944444443,0.2794,1.3228
2025-03-21,72593.53221666669,60560.067700000014,36968.94994999999,24935.48543333334,27165.358333253334,22024.907505969997,0.5702902777777777,0.1352,1.1788
2025-03-22,71936.9295333333,56055.7298,36745.131100000006,20863.93136666666,26870.6129199,21777.715614021672,0.5873881944444442,0.1546,1.1642
2025-03-23,117739.97726666661,58970.25715,64423.69705000001,5653.976933333334,50706.0367036883,50851.890562970024,0.767178472222222,0.3404,1.3289
2025-03-24,117425.17061666667,59426.67353333335,64983.405866666675,6984.908783333335,51085.255666161655,51563.049949809974,0.7674861111111111,0.3336,1.3583
2025-03-25,118053.1678166667,57103.04309999999,65738.09268333334,4787.967966666668,51779.39996320669,52110.39722633833,0.7712756944444445,0.3706,1.3143
2025-03-26,117704.62780000002,62112.072933333344,63767.07140000004,8174.516533333334,50047.30889506836,50301.95752165833,0.7566111111111111,0.3654,1.3062
