issue_time,valid_time,issue_hour,lead_hours,forecast_kw,actual_kw
2025-01-01 00:00:00,2025-01-01 01:00:00,0,1,0.0,0.0
2025-01-01 00:00:00,2025-01-01 02:00:00,0,2,0.0,0.0
2025-01-01 00:00:00,2025-01-01 03:00:00,0,3,0.0,0.0
2025-01-01 00:00:00,2025-01-01 04:00:00,0,4,0.0,0.0
2025-01-01 00:00:00,2025-01-01 05:00:00,0,5,0.0,0.0
2025-01-01 00:00:00,2025-01-01 06:00:00,0,6,0.0,0.0
2025-01-01 00:00:00,2025-01-01 07:00:00,0,7,3.1173,3.075
2025-01-01 00:00:00,2025-01-01 08:00:00,0,8,1603.3305,1592.2875
2025-01-01 00:00:00,2025-01-01 09:00:00,0,9,3409.0929,3350.9625
2025-01-01 00:00:00,2025-01-01 10:00:00,0,10,4871.2875,4836.6375
2025-01-01 00:00:00,2025-01-01 11:00:00,0,11,5785.111,5372.1
2025-01-01 00:00:00,2025-01-01 12:00:00,0,12,5737.1717,5331.7125
2025-01-01 00:00:00,2025-01-01 13:00:00,0,13,6047.3964,5261.8125
2025-01-01 00:00:00,2025-01-01 14:00:00,0,14,4687.1165,4478.625
2025-01-01 00:00:00,2025-01-01 15:00:00,0,15,3572.6529,3327.3375
2025-01-01 00:00:00,2025-01-01 16:00:00,0,16,1629.9964,1525.8
2025-01-01 00:00:00,2025-01-01 17:00:00,0,17,3.1956,2.9625
2025-01-01 00:00:00,2025-01-01 18:00:00,0,18,0.0,0.0
2025-01-01 00:00:00,2025-01-01 19:00:00,0,19,0.0,0.0
2025-01-01 00:00:00,2025-01-01 20:00:00,0,20,0.0,0.0
2025-01-01 00:00:00,2025-01-01 21:00:00,0,21,0.0,0.0
2025-01-01 00:00:00,2025-01-01 22:00:00,0,22,0.0,0.0
2025-01-01 00:00:00,2025-01-01 23:00:00,0,23,0.0,0.0
2025-01-01 00:00:00,2025-01-02 00:00:00,0,24,0.0,0.0
2025-01-01 06:00:00,2025-01-01 07:00:00,6,1,3.0919,3.075
2025-01-01 06:00:00,2025-01-01 08:00:00,6,2,1588.7839,1592.2875
2025-01-01 06:00:00,2025-01-01 09:00:00,6,3,3297.9893,3350.9625
2025-01-01 06:00:00,2025-01-01 10:00:00,6,4,4692.2274,4836.6375
2025-01-01 06:00:00,2025-01-01 11:00:00,6,5,5220.3894,5372.1
2025-01-01 06:00:00,2025-01-01 12:00:00,6,6,5078.6992,5331.7125
2025-01-01 06:00:00,2025-01-01 13:00:00,6,7,5314.2003,5261.8125
2025-01-01 06:00:00,2025-01-01 14:00:00,6,8,4833.7142,4478.625
2025-01-01 06:00:00,2025-01-01 15:00:00,6,9,3588.0375,3327.3375
2025-01-01 06:00:00,2025-01-01 16:00:00,6,10,1660.0369,1525.8
2025-01-01 06:00:00,2025-01-01 17:00:00,6,11,3.0359,2.9625
2025-01-01 06:00:00,2025-01-01 18:00:00,6,12,0.0,0.0
2025-01-01 06:00:00,2025-01-01 19:00:00,6,13,0.0,0.0
2025-01-01 06:00:00,2025-01-01 20:00:00,6,14,0.0,0.0
2025-01-01 06:00:00,2025-01-01 21:00:00,6,15,0.0,0.0
2025-01-01 06:00:00,2025-01-01 22:00:00,6,16,0.0,0.0
2025-01-01 06:00:00,2025-01-01 23:00:00,6,17,0.0,0.0
2025-01-01 06:00:00,2025-01-02 00:00:00,6,18,0.0,0.0
2025-01-01 06:00:00,2025-01-02 01:00:00,6,19,0.0,0.0
2025-01-01 06:00:00,2025-01-02 02:00:00,6,20,0.0,0.0
2025-01-01 06:00:00,2025-01-02 03:00:00,6,21,0.0,0.0
2025-01-01 06:00:00,2025-01-02 04:00:00,6,22,0.0,0.0
2025-01-01 06:00:00,2025-01-02 05:00:00,6,23,0.0,0.0
2025-01-01 06:00:00,2025-01-02 06:00:00,6,24,0.0,0.0
2025-01-01 12:00:00,2025-01-01 13:00:00,12,1,5330.4298,5261.8125
2025-01-01 12:00:00,2025-01-01 14:00:00,12,2,4549.2579,4478.625
2025-01-01 12:00:00,2025-01-01 15:00:00,12,3,3365.5312,3327.3375
2025-01-01 12:00:00,2025-01-01 16:00:00,12,4,1504.2156,1525.8
2025-01-01 12:00:00,2025-01-01 17:00:00,12,5,2.8622,2.9625
2025-01-01 12:00:00,2025-01-01 18:00:00,12,6,0.0,0.0
2025-01-01 12:00:00,2025-01-01 19:00:00,12,7,0.0,0.0
2025-01-01 12:00:00,2025-01-01 20:00:00,12,8,0.0,0.0
2025-01-01 12:00:00,2025-01-01 21:00:00,12,9,0.0,0.0
2025-01-01 12:00:00,2025-01-01 22:00:00,12,10,0.0,0.0
2025-01-01 12:00:00,2025-01-01 23:00:00,12,11,0.0,0.0
2025-01-01 12:00:00,2025-01-02 00:00:00,12,12,0.0,0.0
2025-01-01 12:00:00,2025-01-02 01:00:00,12,13,0.0,0.0
2025-01-01 12:00:00,2025-01-02 02:00:00,12,14,0.0,0.0
2025-01-01 12:00:00,2025-01-02 03:00:00,12,15,0.0,0.0
2025-01-01 12:00:00,2025-01-02 04:00:00,12,16,0.0,0.0
2025-01-01 12:00:00,2025-01-02 05:00:00,12,17,0.0,0.0
2025-01-01 12:00:00,2025-01-02 06:00:00,12,18,0.0,0.0
2025-01-01 12:00:00,2025-01-02 07:00:00,12,19,6.8708,6.6375
