timestamp,date,interval_start,interval_end,evaluation,price_yuan_per_kwh,predicted_load_kwh,predicted_pv_kwh,safety_margin_kwh,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,solver_status,planner_fallback,dispatch_fallback,load_model,pv_model,conversion_loss_kwh
2025-06-14 00:00:00,2025-06-14,00:00,00:10,True,0.4248,506.40897500000005,0.0,98.7416116666666,548.70345,0.0,605.1505866666666,56.447136666666765,0.0,9.947598300641403e-14,0.0,7282.704561060404,7333.506984060404,257.067969216,2.112869879056234e-13,Optimal,False,False,3,1,5.644713666666677
2025-06-14 00:10:00,2025-06-14,00:10,00:20,True,0.4245,533.7449083333333,0.0,102.95698500000002,541.2936666666667,0.0,636.7018933333334,95.40822666666625,0.0,0.0,4.263256414560601e-13,7333.506984060404,7419.374388060403,270.27995372000004,0.0,Optimal,False,False,3,1,9.540822666666626
2025-06-14 00:20:00,2025-06-14,00:20,00:30,True,0.4269,533.9427416666667,0.0,80.83550000000002,522.57,0.0,614.7782416666668,92.20824166666716,0.0,4.547473508864641e-13,0.0,7419.374388060403,7502.361805560404,262.4488313675,9.706582204671577e-13,Optimal,False,False,3,1,9.220824166666716
2025-06-14 00:30:00,2025-06-14,00:30,00:40,True,0.4272,518.246425,0.0,81.53593333333332,524.14905,0.0,599.7823583333334,75.63330833333364,0.0,2.5579538487363607e-13,0.0,7502.361805560404,7570.431783060404,256.22702348,5.463789420900866e-13,Optimal,False,False,3,1,7.563330833333365
2025-06-14 00:40:00,2025-06-14,00:40,00:50,True,0.4271,517.0142416666666,0.0,83.69110666666663,531.5594333333333,0.0,600.7053483333333,69.14591500000016,0.0,2.1316282072803006e-13,0.0,7570.431783060404,7632.663106560404,256.56125427316664,4.552092036647082e-13,Optimal,False,False,3,1,6.914591500000016
2025-06-14 00:50:00,2025-06-14,00:50,01:00,True,0.4285,526.5994083333334,0.0,73.22616666666664,531.9766666666667,0.0,599.8255750000001,67.84890833333318,0.0,0.0,1.9895196601282805e-13,7632.663106560404,7693.727124060404,257.0252588875,0.0,Optimal,False,False,3,1,6.784890833333319
2025-06-14 01:00:00,2025-06-14,01:00,01:10,True,0.4311,506.6315986111112,0.0,66.95835499999998,523.55215,0.0,573.5899536111111,50.037803611111386,0.0,2.4158453015843406e-13,0.0,7693.727124060404,7738.761147310404,247.27462900175,5.207354547565047e-13,Optimal,False,False,3,1,5.003780361111139
2025-06-14 01:10:00,2025-06-14,01:10,01:20,True,0.4302,484.0772986111111,0.0,73.10376333333338,496.3817666666666,0.0,557.1810619444444,60.79929527777797,0.0,1.8474111129762605e-13,0.0,7738.761147310404,7793.4805130604045,239.6992928485,3.973781304011937e-13,Optimal,False,False,3,1,6.079929527777797
2025-06-14 01:20:00,2025-06-14,01:20,01:30,True,0.4279,472.3166486111111,0.0,63.83766666666669,476.66,0.0,536.1543152777778,59.49431527777758,0.0,0.0,1.4921397450962104e-13,7793.4805130604045,7847.025396810404,229.42043150736112,0.0,Optimal,False,False,3,1,5.949431527777758
2025-06-14 01:30:00,2025-06-14,01:30,01:40,True,0.4312,487.2358486111111,0.0,55.63319000000006,498.5694833333334,0.0,542.8690386111111,44.29955527777767,0.0,0.0,8.526512829121202e-14,7847.025396810404,7886.894996560404,234.08512944911115,0.0,Optimal,False,False,3,1,4.429955527777767
2025-06-14 01:40:00,2025-06-14,01:40,01:50,True,0.4333,513.0004986111111,0.0,62.40630166666665,481.0748333333333,0.0,575.4068002777777,70.11667048843972,0.0,0.0,24.215296456004666,7886.894996560404,7950.0,249.3237665603611,0.0,Optimal,False,False,3,1,7.0116670488439725
2025-06-14 01:50:00,2025-06-14,01:50,02:00,True,0.4311,524.0883152777777,0.0,65.01766666666667,447.43,0.0,589.1059819444444,55.55555555555556,0.0,0.0,86.12042638888879,7950.0,8000.0,253.96358881624997,0.0,Optimal,False,False,3,1,5.555555555555556
2025-06-14 02:00:00,2025-06-14,02:00,02:10,True,0.4293,506.2751819444444,0.0,60.41647666666676,496.979,0.0,566.6916586111112,0.0,0.0,0.0,69.71265861111118,8000.0,8000.0,243.28072904175,0.0,Optimal,False,False,3,1,0.0
2025-06-14 02:10:00,2025-06-14,02:10,02:20,True,0.4324,469.5516152777778,0.0,43.51330999999996,506.7176833333333,0.0,513.0649252777778,0.0,0.0,0.0,6.347241944444477,8000.0,8000.0,221.84927369011112,0.0,Optimal,False,False,3,1,0.0
2025-06-14 02:20:00,2025-06-14,02:20,02:30,True,0.4367,450.8919319444444,0.0,34.70666666666664,463.7683333333334,0.0,485.5985986111111,0.0,0.0,0.0,21.8302652777777,8000.0,8000.0,212.0609080134722,0.0,Optimal,False,False,3,1,0.0
2025-06-14 02:30:00,2025-06-14,02:30,02:40,True,0.4348,467.9539152777778,0.0,36.242640555555504,476.9005666666667,0.0,504.1965558333333,0.0,0.0,0.0,27.29598916666663,8000.0,8000.0,219.22466247633332,0.0,Optimal,False,False,3,1,0.0
2025-06-14 02:40:00,2025-06-14,02:40,02:50,True,0.4335,458.1257986111111,0.0,41.38240999999998,477.2148,0.0,499.5082086111111,0.0,0.0,0.0,22.293408611111147,8000.0,8000.0,216.53680843291667,0.0,Optimal,False,False,3,1,0.0
2025-06-14 02:50:00,2025-06-14,02:50,03:00,True,0.4357,432.5869319444445,0.0,53.434999999999945,451.1233333333333,0.0,486.0219319444444,0.0,0.0,0.0,34.89859861111114,8000.0,8000.0,211.7597557481944,0.0,Optimal,False,False,3,1,0.0
2025-06-14 03:00:00,2025-06-14,03:00,03:10,True,0.4374,463.3670125,0.0002333333333333,30.53381833333337,461.25168333333335,0.0002666666666666,493.9005975000001,0.0,0.0,0.0,32.649180833333446,8000.0,8000.0,216.03212134650005,0.0,Optimal,False,False,3,1,0.0
2025-06-14 03:10:00,2025-06-14,03:10,03:20,True,0.4371,474.89444583333335,0.0,26.32540666666664,471.09725,0.0,501.2198525,0.0,0.0,0.0,30.12260249999997,8000.0,8000.0,219.08319752775,0.0,Optimal,False,False,3,1,0.0
2025-06-14 03:20:00,2025-06-14,03:20,03:30,True,0.4356,465.0139791666666,0.0,39.63699999999999,470.23,0.0,504.6509791666666,0.0,0.0,0.0,34.4209791666666,8000.0,8000.0,219.825966525,0.0,Optimal,False,False,3,1,0.0
2025-06-14 03:30:00,2025-06-14,03:30,03:40,True,0.4353,494.6890291666666,0.0032611111111111,38.22607690476187,487.2503333333333,0.00375,532.9118449603175,0.0,0.0,0.0,45.66526162698409,8000.0,8000.0,231.9765261112262,0.0,Optimal,False,False,3,1,0.0
2025-06-14 03:40:00,2025-06-14,03:40,03:50,True,0.436,490.5906458333333,0.0,22.50500833333338,499.44795,0.0,513.0956541666667,0.0,0.0,0.0,13.6477041666667,8000.0,8000.0,223.70970521666663,0.0,Optimal,False,False,3,1,0.0
2025-06-14 03:50:00,2025-06-14,03:50,04:00,True,0.4378,459.3856458333333,0.0,21.023333333333312,480.9666666666667,0.0,480.4089791666666,0.0,0.5576874999997017,3.979039320256561e-13,0.0,8000.0,7999.380347222223,210.32305107916665,8.710117072041612e-13,Optimal,False,False,3,1,0.06196527777774466
2025-06-14 04:00:00,2025-06-14,04:00,04:10,True,0.4401,480.0620305555556,0.0454222222222222,29.89008809523807,434.77895,0.0522666666666666,509.9066964285714,0.0,0.0,0.0,75.18001309523811,7999.380347222223,7999.380347222223,224.40993709821427,0.0,Optimal,False,False,3,1,0.0
