date,interval,timestamp,purchase_kwh,adjusted_purchase_kwh,load_kwh,pv_kwh,price_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,alpha,gain,forecast_next_net_kwh
2025-02-01,0,2025-02-01 00:00:00,1275.6792416666667,1275.6792416666667,422.0303666666667,0.0,0.4248,833.3333333333333,0.0,0.0,20.31554166666683,1200.0,1950.0,1.0,0.75,425.68863649063445
2025-02-01,1,2025-02-01 00:10:00,1271.0088999999998,1271.0088999999998,415.4073166666667,0.0,0.4245,833.3333333333333,0.0,0.0,22.268249999999853,1950.0,2700.0,1.0,0.75,447.0057934152405
2025-02-01,2,2025-02-01 00:20:00,1291.385,1291.385,410.7166666666667,0.0,0.4269,833.3333333333333,0.0,0.0,47.335000000000036,2700.0,3450.0,1.0,0.75,438.971681870622
2025-02-01,3,2025-02-01 00:30:00,1287.878675,1287.878675,430.29479999999995,0.0,0.4272,833.3333333333333,0.0,0.0,24.250541666666777,3450.0,4200.0,1.0,0.75,449.11512435221016
2025-02-01,4,2025-02-01 00:40:00,1257.2215166666665,1257.2215166666665,424.4105833333333,0.0,0.4271,832.8109333333334,0.0,2.2737367544323206e-13,0.0,4200.0,4949.52984,1.0,0.75,443.92592791380935
2025-02-01,5,2025-02-01 00:50:00,1264.2416666666663,1264.2416666666663,406.0516666666667,0.0,0.4285,833.3333333333333,0.0,0.0,24.856666666666342,4949.52984,5699.52984,1.0,0.75,452.32935375972477
2025-02-01,6,2025-02-01 01:00:00,1117.2810333333337,1117.2810333333337,436.7501833333333,0.0,0.4311,680.5308500000006,0.0,2.2737367544323206e-13,0.0,5699.52984,6312.007605000001,1.0,0.75,451.17875697983436
2025-02-01,7,2025-02-01 01:10:00,1301.7855416666666,1301.7855416666666,451.7976833333333,0.0,0.4302,833.3333333333333,0.0,0.0,16.65452500000015,6312.007605000001,7062.007605000001,1.0,0.75,448.7629530154346
2025-02-01,8,2025-02-01 01:20:00,1250.9741666666666,1250.9741666666666,446.08,0.0,0.4279,804.8941666666663,0.0,0.0,4.547473508864641e-13,7062.007605000001,7786.412355,1.0,0.75,485.3267299572488
2025-02-01,9,2025-02-01 01:30:00,484.7230750000001,484.7230750000001,471.7663333333333,0.0,0.4312,12.956741666666858,0.0,5.684341886080802e-14,0.0,7786.412355,7798.073422500001,1.0,0.75,494.21537324836174
2025-02-01,10,2025-02-01 01:40:00,511.48474166666654,511.48474166666654,448.02596666666665,0.0,0.4333,63.45877500000016,0.0,2.7000623958883807e-13,0.0,7798.073422500001,7855.186320000001,1.0,0.75,466.15161621485123
2025-02-01,11,2025-02-01 01:50:00,1306.9691666666665,1306.9691666666665,397.40333333333336,0.0,0.4311,833.3333333333333,0.0,0.0,76.23249999999985,7855.186320000001,8605.18632,1.0,0.75,448.14866806106977
2025-02-01,12,2025-02-01 02:00:00,1319.265375,1319.265375,434.0906333333333,0.0,0.4293,833.3333333333333,0.0,0.0,51.84140833333345,8605.18632,9355.18632,1.0,0.75,461.43037954999807
2025-02-01,13,2025-02-01 02:10:00,523.3204083333335,523.3204083333335,490.5609166666666,0.0,0.4324,32.75949166666679,0.0,0.0,7.105427357601002e-14,9355.18632,9384.6698625,1.0,0.75,473.2764171846028
2025-02-01,14,2025-02-01 02:20:00,505.015,505.015,503.22,0.0,0.4367,1.7949999999998707,0.0,0.0,8.837375276016246e-14,9384.6698625,9386.2853625,1.0,0.75,482.1924877722465
