timestamp,date,interval_start,interval_end,evaluation,price_yuan_per_kwh,predicted_load_kwh,predicted_pv_kwh,load_kwh,pv_kwh,purchase_kwh,planned_charge_kwh,planned_discharge_kwh,planned_unused_kwh,reference_soc_start_kwh,reference_soc_end_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,forecast_method,solver_status,planner_fallback,dispatch_fallback
2025-01-01 00:00:00,2025-01-01,00:00,00:10,False,0.4248,0.0,0.0,588.2882666666667,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,588.2882666666667,0.0,6000.0,6000.0,0.0,1249.5242784000002,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 00:10:00,2025-01-01,00:10,00:20,False,0.4245,0.0,0.0,601.5881166666667,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,601.5881166666667,0.0,6000.0,6000.0,0.0,1276.870777625,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 00:20:00,2025-01-01,00:20,00:30,False,0.4269,0.0,0.0,621.0933333333334,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,621.0933333333334,0.0,6000.0,6000.0,0.0,1325.7237200000002,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 00:30:00,2025-01-01,00:30,00:40,False,0.4272,0.0,0.0,585.1051833333333,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,585.1051833333333,0.0,6000.0,6000.0,0.0,1249.7846716000001,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 00:40:00,2025-01-01,00:40,00:50,False,0.4271,0.0,0.0,583.7604166666666,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,583.7604166666666,0.0,6000.0,6000.0,0.0,1246.6203697916665,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 00:50:00,2025-01-01,00:50,01:00,False,0.4285,0.0,0.0,631.1683333333334,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,631.1683333333334,0.0,6000.0,6000.0,0.0,1352.2781541666668,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 01:00:00,2025-01-01,01:00,01:10,False,0.4311,0.0,0.0,650.0534166666666,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,650.0534166666666,0.0,6000.0,6000.0,0.0,1401.1901396249998,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 01:10:00,2025-01-01,01:10,01:20,False,0.4302,0.0,0.0,652.8062666666666,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,652.8062666666666,0.0,6000.0,6000.0,0.0,1404.1862796,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 01:20:00,2025-01-01,01:20,01:30,False,0.4279,0.0,0.0,636.2133333333334,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,636.2133333333334,0.0,6000.0,6000.0,0.0,1361.1784266666666,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 01:30:00,2025-01-01,01:30,01:40,False,0.4312,0.0,0.0,588.8356,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,588.8356,0.0,6000.0,6000.0,0.0,1269.5295536,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 01:40:00,2025-01-01,01:40,01:50,False,0.4333,0.0,0.0,615.7768833333333,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,615.7768833333333,0.0,6000.0,6000.0,0.0,1334.0806177416666,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 01:50:00,2025-01-01,01:50,02:00,False,0.4311,0.0,0.0,677.455,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,677.455,0.0,6000.0,6000.0,0.0,1460.2542525000001,cold_start_no_history,cold_start_no_history,False,False
2025-01-01 02:00:00,2025-01-01,02:00,02:10,False,0.4293,0.0,0.0,635.1118333333333,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,635.1118333333333,0.0,6000.0,6000.0,0.0,1363.2675502499999,cold_start_no_history,cold_start_no_history,False,False
